label,filename0,filename1,percent,lines
99,A2016/Z1/Z1/student6874.c,A2016/Z1/Z1/student9864.c,99,136
99,A2016/Z1/Z3/student5263.c,A2016/Z1/Z3/student2652.c,99,40
99,A2016/Z1/Z4/student7298.c,A2016/Z1/Z4/student2547.c,99,27
99,A2016/Z1/Z4/student9805.c,A2016/Z1/Z4/student2887.c,99,22
99,A2016/Z1/Z4/student9463.c,A2016/Z1/Z4/student4389.c,99,44
99,A2016/Z1/Z4/student1772.c,A2016/Z1/Z4/student6913.c,99,33
99,A2016/Z1/Z4/student2886.c,A2016/Z1/Z4/student2197.c,99,42
99,A2016/Z1/Z4/student8846.c,A2016/Z1/Z4/student5636.c,99,63
99,A2016/Z1/Z4/student8819.c,A2016/Z1/Z4/student4888.c,99,72
99,A2016/Z1/Z3/student8819.c,A2016/Z1/Z3/student4888.c,99,64
99,A2016/Z1/Z3/student7232.c,A2016/Z1/Z3/student2086.c,99,89
99,A2016/Z1/Z3/student9175.c,A2016/Z1/Z3/student4495.c,99,70
99,A2016/Z1/Z3/student4804.c,A2016/Z1/Z3/student2508.c,99,62
99,A2016/Z1/Z3/student3258.c,A2016/Z1/Z3/student5488.c,99,43
99,A2016/Z1/Z3/student7119.c,A2016/Z1/Z3/student4128.c,99,36
99,A2016/Z1/Z3/student2755.c,A2016/Z1/Z3/student6419.c,99,52
99,A2016/Z1/Z3/student6042.c,A2016/Z1/Z3/student7080.c,99,48
99,A2016/Z1/Z4/student6824.c,A2016/Z1/Z4/student5899.c,99,41
99,A2016/Z1/Z3/student7386.c,A2016/Z1/Z3/student5378.c,99,41
99,A2016/Z1/Z3/student7386.c,A2016/Z1/Z3/student9538.c,99,41
99,A2016/Z1/Z3/student9972.c,A2016/Z1/Z3/student7386.c,99,41
99,A2016/Z1/Z3/student5378.c,A2016/Z1/Z3/student9538.c,99,41
99,A2016/Z1/Z3/student9972.c,A2016/Z1/Z3/student5378.c,99,41
99,A2016/Z1/Z3/student9972.c,A2016/Z1/Z3/student9538.c,99,41
99,A2016/Z1/Z3/student9758.c,A2016/Z1/Z3/student5863.c,99,74
99,A2016/Z1/Z3/student2111.c,A2016/Z1/Z3/student7165.c,99,75
99,A2016/Z1/Z3/student1482.c,A2016/Z1/Z3/student1915.c,99,75
99,A2016/Z1/Z3/student1482.c,A2016/Z1/Z3/student4959.c,99,75
99,A2016/Z1/Z3/student1915.c,A2016/Z1/Z3/student4959.c,99,75
99,A2016/Z1/Z3/student7125.c,A2016/Z1/Z3/student2254.c,99,102
99,A2016/Z1/Z3/student7013.c,A2016/Z1/Z3/student5222.c,99,94
99,A2016/Z1/Z2/student5358.c,A2016/Z1/Z2/student2736.c,99,19
99,A2016/Z1/Z4/student6547.c,A2016/Z1/Z4/student8317.c,99,34
99,A2016/Z1/Z3/student4082.c,A2016/Z1/Z3/student7597.c,99,65
99,A2016/Z1/Z1/student7823.c,A2016/Z1/Z1/student7457.c,99,170
99,A2016/Z1/Z4/student9931.c,A2016/Z1/Z4/student1266.c,99,24
99,A2016/Z1/Z4/student1482.c,A2016/Z1/Z4/student4959.c,99,20
98,A2016/Z1/Z3/student2351.c,A2016/Z1/Z3/student1477.c,98,84
98,A2016/Z1/Z2/student3701.c,A2016/Z1/Z2/student2486.c,98,22
98,A2016/Z1/Z4/student3572.c,A2016/Z1/Z4/student6594.c,98,41
98,A2016/Z1/Z3/student7298.c,A2016/Z1/Z3/student5298.c,98,43
98,A2016/Z1/Z2/student2160.c,A2016/Z1/Z2/student8189.c,98,19
98,A2016/Z1/Z3/student8774.c,A2016/Z1/Z3/student8753.c,98,70
98,A2016/Z1/Z4/student5263.c,A2016/Z1/Z4/student8864.c,98,20
98,A2016/Z1/Z4/student2351.c,A2016/Z1/Z4/student1477.c,98,26
98,A2016/Z1/Z3/student3701.c,A2016/Z1/Z3/student2486.c,98,57
98,A2016/Z1/Z1/student9945.c,A2016/Z1/Z1/student3678.c,98,87
98,A2016/Z1/Z4/student4237.c,A2016/Z1/Z4/student8797.c,98,37
