label,student0,student1,filename0,filename1
1,student7386,student5378,A2016/Z1/Z1/student7386,A2016/Z1/Z1/student5378
1,student7386,student9538,A2016/Z1/Z1/student7386,A2016/Z1/Z1/student9538
1,student5378,student7386,A2016/Z1/Z1/student5378,A2016/Z1/Z1/student7386
1,student5378,student9538,A2016/Z1/Z1/student5378,A2016/Z1/Z1/student9538
1,student9538,student7386,A2016/Z1/Z1/student9538,A2016/Z1/Z1/student7386
1,student9538,student5378,A2016/Z1/Z1/student9538,A2016/Z1/Z1/student5378
1,student2821,student8295,A2016/Z1/Z1/student2821,A2016/Z1/Z1/student8295
1,student8295,student2821,A2016/Z1/Z1/student8295,A2016/Z1/Z1/student2821
1,student4934,student6617,A2016/Z1/Z1/student4934,A2016/Z1/Z1/student6617
1,student6617,student4934,A2016/Z1/Z1/student6617,A2016/Z1/Z1/student4934
1,student8598,student3331,A2016/Z1/Z1/student8598,A2016/Z1/Z1/student3331
1,student8598,student5573,A2016/Z1/Z1/student8598,A2016/Z1/Z1/student5573
1,student8598,student9498,A2016/Z1/Z1/student8598,A2016/Z1/Z1/student9498
1,student8598,student8796,A2016/Z1/Z1/student8598,A2016/Z1/Z1/student8796
1,student3331,student8598,A2016/Z1/Z1/student3331,A2016/Z1/Z1/student8598
1,student3331,student5573,A2016/Z1/Z1/student3331,A2016/Z1/Z1/student5573
1,student3331,student9498,A2016/Z1/Z1/student3331,A2016/Z1/Z1/student9498
1,student3331,student8796,A2016/Z1/Z1/student3331,A2016/Z1/Z1/student8796
1,student5573,student8598,A2016/Z1/Z1/student5573,A2016/Z1/Z1/student8598
1,student5573,student3331,A2016/Z1/Z1/student5573,A2016/Z1/Z1/student3331
1,student5573,student9498,A2016/Z1/Z1/student5573,A2016/Z1/Z1/student9498
1,student5573,student8796,A2016/Z1/Z1/student5573,A2016/Z1/Z1/student8796
1,student9498,student8598,A2016/Z1/Z1/student9498,A2016/Z1/Z1/student8598
1,student9498,student3331,A2016/Z1/Z1/student9498,A2016/Z1/Z1/student3331
1,student9498,student5573,A2016/Z1/Z1/student9498,A2016/Z1/Z1/student5573
1,student9498,student8796,A2016/Z1/Z1/student9498,A2016/Z1/Z1/student8796
1,student8796,student8598,A2016/Z1/Z1/student8796,A2016/Z1/Z1/student8598
1,student8796,student3331,A2016/Z1/Z1/student8796,A2016/Z1/Z1/student3331
1,student8796,student5573,A2016/Z1/Z1/student8796,A2016/Z1/Z1/student5573
